,fruits_veggies,daily_stress,places_visited,core_circle,supporting_others,social_network,achievement,donation,todo_completed,flow,daily_steps,live_vision,sleep_hours,lost_vacation,daily_shouting,sufficient_income,personal_awards,time_for_passion,weekly_meditation,age,gender,work_life_balance_score,healthy_bmi,quest_year,quest_month
22,5,2,8,6,10,10,6,4,4,4,3,3,7,1,2,1,10,6,8,36 to 50,Male,709.4,0,2015,7
23,2,2,6,10,10,10,10,5,10,6,7,4,7,0,1,1,10,5,7,36 to 50,Male,752.7,1,2015,7
24,2,4,6,10,5,5,6,4,6,1,7,10,6,0,3,1,1,3,10,36 to 50,Female,677.7,0,2015,7
25,1,5,1,3,6,5,3,5,2,2,8,1,7,0,6,1,5,1,1,21 to 35,Male,633.9,1,2015,7
26,1,4,1,2,5,3,1,5,1,5,8,1,7,0,4,1,2,1,1,21 to 35,Male,628.8,1,2015,7
27,2,4,10,3,10,7,8,3,6,0,5,5,7,0,1,1,10,2,2,21 to 35,Female,692.8,1,2015,7
28,3,4,6,4,7,10,3,3,4,1,10,5,6,0,3,0,7,2,8,36 to 50,Female,673.2,1,2015,7
29,4,2,10,3,1,2,3,3,7,2,4,1,7,0,3,1,10,1,7,20 or younger,Female,673.9,1,2015,7
30,5,3,10,3,7,5,3,2,7,2,10,10,7,0,0,0,10,5,10,21 to 35,Male,712.5,1,2015,7
31,3,1,3,5,2,10,4,2,5,4,3,10,8,0,1,1,10,4,1,36 to 50,Female,692.6,1,2015,7
32,0,5,0,3,3,8,1,5,4,4,1,1,6,10,10,1,3,2,1,36 to 50,Female,574.5,0,2015,7
33,1,3,10,3,2,3,2,0,2,2,5,2,8,0,0,0,4,3,7,51 or more,Female,630.1,1,2015,7
34,4,2,10,6,10,8,10,2,10,2,10,5,7,0,3,1,10,4,10,21 to 35,Male,746.5,1,2015,7
35,3,3,0,2,0,5,0,5,3,1,2,0,6,0,6,0,2,2,10,21 to 35,Male,591.7,0,2015,7
36,2,3,7,4,10,8,10,5,5,5,2,10,6,0,3,1,10,6,10,51 or more,Female,729.4,1,2015,7
37,2,5,1,8,5,2,2,5,2,0,10,0,8,7,10,0,2,0,10,36 to 50,Female,593.7,0,2015,7
38,4,1,1,10,10,10,5,5,8,3,7,3,6,7,2,0,6,4,10,51 or more,Male,682.8,0,2015,7
39,5,3,6,6,10,7,3,5,8,5,3,4,9,0,3,1,6,6,10,51 or more,Female,723.4,1,2015,7
40,4,2,10,8,8,4,6,3,5,4,3,2,7,10,1,1,5,4,8,21 to 35,Female,687.3,1,2015,7
41,4,3,10,8,10,3,2,3,0,0,3,0,5,0,2,1,4,0,2,51 or more,Female,635.9,0,2015,7
42,2,3,0,8,10,10,1,2,5,0,2,10,9,0,3,0,10,0,10,51 or more,Female,655.2,0,2015,7
43,3,2,4,1,1,10,3,2,7,5,7,2,7,4,3,0,3,5,8,21 to 35,Male,652.4,1,2015,7
44,2,3,3,10,3,4,0,4,7,1,8,1,8,0,3,1,2,2,3,36 to 50,Female,657.9,1,2015,7
45,3,5,10,2,9,10,5,5,10,1,10,10,5,10,7,1,7,2,2,36 to 50,Female,686.6,1,2015,7
46,5,3,10,10,10,6,4,5,7,4,10,2,6,5,1,1,8,4,10,51 or more,Female,732.7,1,2015,7
47,4,2,10,10,5,8,5,2,6,3,10,2,8,2,2,0,10,3,7,21 to 35,Female,685.5,0,2015,7
48,3,2,8,10,10,10,8,5,10,3,7,10,7,1,2,1,10,3,10,51 or more,Female,742.5,0,2015,7
49,2,3,3,10,10,10,5,1,7,4,2,6,8,0,2,1,4,1,1,36 to 50,Female,663.5,0,2015,7
50,4,3,6,3,10,10,5,4,4,6,8,3,7,0,4,1,4,5,9,21 to 35,Female,710.4,1,2015,7
51,3,5,8,9,5,10,4,2,8,4,10,2,8,10,4,1,3,3,5,21 to 35,Female,658.3,0,2015,7
52,1,2,4,6,1,10,4,0,5,1,5,1,6,0,1,1,8,1,2,36 to 50,Male,633.1,0,2015,7
53,5,2,3,6,4,9,3,2,5,3,6,3,8,0,3,1,2,3,5,51 or more,Female,677.9,1,2015,7
54,4,2,5,10,10,2,5,3,4,2,1,1,6,10,1,1,3,4,4,21 to 35,Female,640.8,0,2015,7
55,1,4,1,1,1,7,1,0,0,5,3,1,6,10,8,0,2,2,1,20 or younger,Female,557.9,1,2015,7
56,4,2,8,6,2,10,1,1,6,3,5,10,8,3,3,1,10,1,2,36 to 50,Female,669.2,0,2015,7
57,5,4,10,6,5,10,7,4,4,4,10,1,7,0,2,1,6,4,5,36 to 50,Male,712.5,1,2015,7
58,4,3,10,1,10,2,4,5,9,2,10,2,7,0,0,1,10,1,7,51 or more,Female,712.5,1,2015,7
59,0,5,0,2,1,2,0,5,0,0,1,0,10,0,2,0,1,0,0,21 to 35,Male,571.9,1,2015,7
60,0,5,0,2,1,2,1,5,1,0,1,0,10,0,2,0,1,0,0,21 to 35,Male,575.3,1,2015,7
61,4,3,1,7,5,8,5,3,7,3,8,3,7,10,1,1,3,9,4,21 to 35,Female,678.1,1,2015,7
62,5,2,4,5,4,4,2,1,4,4,6,3,7,8,3,0,4,8,8,21 to 35,Male,648.8,1,2015,7
63,1,1,10,2,1,5,1,0,5,4,8,1,6,5,0,1,4,1,7,21 to 35,Male,649.0,1,2015,7
64,2,5,6,4,10,0,10,3,5,1,2,1,9,0,4,0,10,1,10,36 to 50,Female,656.9,1,2015,7
65,3,3,6,8,7,6,6,2,8,4,5,3,6,4,7,1,5,4,8,21 to 35,Female,680.7,1,2015,7
66,3,3,6,8,7,6,6,2,8,4,5,3,6,4,7,0,5,4,8,21 to 35,Female,663.7,1,2015,7
67,2,1,3,3,2,4,1,5,5,2,10,1,7,0,1,1,5,3,10,21 to 35,Male,661.5,0,2015,7
68,3,1,1,1,1,3,1,1,0,0,6,0,7,2,2,1,3,1,1,51 or more,Female,609.7,1,2015,7
69,3,2,6,4,10,10,1,1,7,0,1,1,8,0,1,1,6,2,6,21 to 35,Female,656.5,0,2015,7
70,4,3,10,10,10,10,3,3,9,3,8,3,8,0,0,1,5,6,10,21 to 35,Male,739.5,1,2015,7
71,3,5,4,0,2,3,0,5,8,2,10,0,4,0,0,1,5,1,10,21 to 35,Female,657.5,1,2015,7
72,0,4,0,2,2,3,1,0,1,0,4,0,4,0,10,0,1,0,0,36 to 50,Female,528.8,0,2015,7
73,4,3,10,8,10,10,4,5,10,2,7,5,6,10,1,1,10,1,3,51 or more,Male,694.7,0,2015,7
74,5,1,10,4,2,2,0,1,10,1,4,0,8,10,2,1,4,5,10,51 or more,Female,662.2,1,2015,7
75,5,2,3,1,10,10,3,5,8,2,5,2,7,1,0,1,5,2,10,21 to 35,Female,704.7,1,2015,7
76,5,2,10,1,4,5,0,5,8,2,10,1,8,0,6,1,10,1,6,36 to 50,Female,694.0,1,2015,7
77,5,2,10,1,4,5,0,5,8,2,10,1,8,0,6,1,10,1,6,36 to 50,Female,694.0,1,2015,7
78,3,3,8,10,5,7,3,4,8,4,10,5,8,0,1,0,10,3,7,21 to 35,Female,709.3,1,2015,7
79,0,5,0,2,0,0,3,0,0,1,1,10,6,10,10,0,2,1,10,21 to 35,Male,538.8,0,2015,7
80,1,1,2,2,1,3,4,0,2,2,8,10,8,0,1,1,1,1,10,20 or younger,Male,654.5,1,2015,7
81,5,1,6,4,10,4,5,1,10,1,1,10,8,0,3,1,0,3,10,51 or more,Female,680.3,0,2015,7
82,0,5,0,2,0,0,3,0,0,1,1,10,6,10,10,0,2,1,10,21 to 35,Male,538.8,0,2015,7
83,3,4,8,7,5,7,8,2,7,2,3,4,6,6,5,1,10,0,4,21 to 35,Female,651.4,0,2015,7
84,5,2,10,5,5,10,5,2,9,4,2,10,8,0,0,1,7,5,5,21 to 35,Female,724.7,1,2015,7
85,5,2,3,6,10,10,5,2,5,2,6,0,6,1,0,1,8,2,5,51 or more,Female,677.5,0,2015,7
86,4,4,8,2,10,10,6,5,6,5,7,8,6,10,0,1,10,3,7,51 or more,Female,696.4,0,2015,7
87,2,4,10,6,4,5,3,1,8,1,2,2,8,0,1,0,10,6,4,36 to 50,Female,658.4,1,2015,7
88,5,0,8,3,10,7,6,3,10,4,8,5,8,0,1,1,10,5,10,36 to 50,Female,749.7,1,2015,7
89,5,0,8,3,10,7,6,3,10,4,8,5,8,0,1,1,10,5,10,36 to 50,Female,749.7,1,2015,7
90,3,4,4,7,4,4,10,5,6,1,9,8,6,0,9,1,7,1,10,36 to 50,Female,676.4,0,2015,7
91,3,4,1,4,2,5,2,2,1,1,9,0,6,7,10,1,2,0,10,21 to 35,Female,594.8,0,2015,7
92,5,3,8,1,10,10,8,5,9,5,10,10,8,2,0,1,8,5,10,21 to 35,Female,758.6,1,2015,7
93,3,4,3,1,4,3,4,0,5,0,7,1,6,1,7,1,10,1,10,21 to 35,Male,640.3,1,2015,7
94,3,2,2,3,8,10,2,1,8,1,8,8,7,2,2,1,2,1,7,36 to 50,Male,678.1,1,2015,7
95,2,3,10,4,10,10,3,1,8,3,4,3,6,0,1,1,10,1,7,36 to 50,Male,678.8,0,2015,7
96,1,5,0,1,1,3,4,1,1,0,1,0,10,10,6,1,3,0,1,36 to 50,Female,551.5,0,2015,7
97,5,5,2,2,10,8,1,0,9,2,10,3,6,3,3,0,4,2,1,21 to 35,Female,639.2,1,2015,7
98,1,3,10,6,10,10,8,4,9,6,7,5,7,5,1,1,7,5,3,21 to 35,Female,718.7,1,2015,7
99,1,3,10,6,7,10,7,3,9,4,5,5,7,4,2,1,7,3,3,21 to 35,Female,697.9,1,2015,7
100,2,3,6,3,5,5,5,3,5,3,4,4,7,0,1,1,5,4,4,51 or more,Female,670.5,1,2015,7
101,4,3,8,10,10,10,2,1,4,3,3,10,7,7,6,0,5,2,6,36 to 50,Female,666.9,1,2015,7
102,5,4,3,10,4,8,6,2,4,0,8,5,6,0,5,0,4,2,3,21 to 35,Male,638.8,0,2015,7
103,5,4,10,3,10,8,0,5,3,1,5,2,6,0,3,0,4,5,6,21 to 35,Female,651.8,0,2015,7
104,3,2,2,3,2,3,4,1,8,3,10,1,9,8,2,0,4,2,9,21 to 35,Male,639.8,1,2015,7
105,3,2,3,8,8,5,3,5,5,1,6,10,7,0,6,1,2,2,7,36 to 50,Female,687.9,1,2015,7
106,2,3,6,10,3,4,0,1,1,2,2,0,7,9,1,1,1,0,2,21 to 35,Female,593.6,0,2015,7
107,3,4,10,8,8,3,1,1,6,1,5,0,8,10,7,0,10,1,3,21 to 35,Female,626.7,1,2015,7
108,2,2,5,1,0,10,10,1,7,3,3,3,6,1,1,0,10,1,7,21 to 35,Male,658.2,1,2015,7
109,1,2,0,4,1,1,1,0,8,0,1,0,7,0,3,0,5,5,7,51 or more,Female,605.3,1,2015,7
110,3,2,3,6,5,9,6,4,5,4,1,5,6,3,2,0,10,2,2,36 to 50,Female,645.9,0,2015,7
111,2,2,3,6,3,2,5,3,4,3,6,2,8,2,0,1,5,5,6,21 to 35,Male,669.4,1,2015,7
112,1,3,2,5,1,2,1,0,2,1,10,0,7,0,0,0,0,0,7,21 to 35,Female,605.4,1,2015,7
113,3,2,9,7,7,5,3,4,9,2,5,10,6,0,3,1,5,2,8,51 or more,Female,690.9,0,2015,7
114,5,2,10,7,4,3,5,2,7,7,1,9,9,8,3,1,10,5,10,20 or younger,Female,709.4,1,2015,7
115,5,2,10,7,4,3,5,2,7,7,1,9,9,8,3,1,10,5,10,20 or younger,Female,709.4,1,2015,7
116,3,5,0,3,2,10,0,0,10,1,10,10,6,0,4,0,0,3,10,21 to 35,Female,627.3,0,2015,7
117,2,5,0,10,3,2,4,1,5,2,4,0,8,0,10,1,10,3,10,51 or more,Female,643.5,1,2015,7
118,2,1,1,0,0,6,2,0,5,2,8,2,7,2,3,1,5,4,4,21 to 35,Male,637.3,1,2015,7
119,1,2,6,8,4,5,2,1,5,1,9,5,10,0,3,1,1,2,4,21 to 35,Female,665.3,1,2015,7
120,1,2,6,8,4,5,2,1,5,1,9,5,10,0,3,1,1,2,4,21 to 35,Female,665.3,1,2015,7
121,5,2,10,5,6,5,8,3,7,3,10,2,9,5,5,1,8,3,10,21 to 35,Male,714.6,1,2015,7
122,5,3,0,6,5,10,2,1,9,3,9,2,5,2,6,0,3,5,3,21 to 35,Female,649.0,1,2015,7
123,5,2,10,4,4,10,4,3,9,2,10,1,7,0,3,1,9,1,10,36 to 50,Female,717.6,1,2015,7
124,5,4,10,3,10,10,8,4,8,2,10,10,7,0,0,1,10,2,8,36 to 50,Male,748.2,1,2015,7
125,3,5,0,7,2,5,1,2,3,1,9,0,7,0,8,1,6,0,10,36 to 50,Female,637.5,1,2015,7
126,2,3,0,7,2,5,2,3,3,2,9,0,4,0,3,0,5,1,7,21 to 35,Female,628.4,1,2015,7
127,3,4,3,5,0,5,2,1,3,4,3,4,5,0,3,1,2,4,5,20 or younger,Male,634.2,1,2015,7
128,5,4,3,7,4,4,3,3,2,0,3,0,9,1,5,1,5,3,8,21 to 35,Male,653.7,1,2015,7
129,1,3,3,5,6,2,10,0,8,2,10,0,8,10,0,0,10,4,10,21 to 35,Male,656.6,1,2015,7
130,2,0,0,10,2,5,2,0,10,1,1,0,10,0,0,1,1,7,10,36 to 50,Female,670.5,1,2015,7
131,1,2,2,1,3,7,1,1,2,1,1,0,8,5,0,1,0,0,4,36 to 50,Female,588.5,0,2015,7
132,2,3,9,3,2,8,3,1,8,3,6,5,8,0,10,1,10,1,8,36 to 50,Female,672.8,1,2015,7
133,5,4,10,3,3,10,4,4,7,2,10,3,6,3,2,1,6,3,5,21 to 35,Male,695.3,1,2015,7
134,2,3,2,5,6,5,1,1,6,1,2,1,6,0,5,0,5,1,1,36 to 50,Male,591.7,0,2015,7
135,3,2,10,5,1,10,2,0,8,3,5,0,9,0,7,1,3,1,8,21 to 35,Female,649.0,0,2015,7
136,5,3,4,10,6,10,4,5,8,4,7,10,7,5,1,1,10,2,5,51 or more,Female,708.5,0,2015,7
137,1,1,4,6,6,4,6,0,9,4,3,2,6,0,1,1,10,2,4,20 or younger,Female,673.5,1,2015,7
138,0,4,1,1,8,3,1,1,1,1,4,3,5,0,8,1,1,0,4,21 to 35,Female,595.3,1,2015,7
139,3,4,4,6,10,10,0,3,4,1,10,5,7,5,4,1,10,6,5,51 or more,Female,671.7,0,2015,7
140,3,4,3,4,2,3,3,4,0,1,10,3,5,2,7,1,0,2,3,20 or younger,Female,625.4,1,2015,7
141,5,1,9,6,2,7,5,1,7,6,7,4,10,0,1,1,1,3,7,20 or younger,Male,705.7,1,2015,7
142,5,2,9,10,8,10,6,3,10,5,9,5,9,0,3,1,10,6,5,36 to 50,Male,753.5,1,2015,7
143,5,1,7,4,2,10,5,0,8,8,8,2,10,0,1,1,1,5,7,20 or younger,Male,707.6,1,2015,7
144,5,0,9,4,4,8,1,0,9,7,10,2,10,0,0,1,3,5,5,20 or younger,Male,713.1,1,2015,7
145,5,2,5,4,7,1,3,5,9,1,7,10,6,1,1,1,4,8,4,51 or more,Female,687.9,0,2015,7
146,2,3,7,4,10,8,10,5,5,5,2,10,6,0,3,1,10,6,10,51 or more,Female,729.4,1,2015,7
147,5,3,10,10,5,5,10,3,8,2,5,2,7,10,9,1,5,3,7,51 or more,Female,665.6,0,2015,7
148,1,2,4,3,1,2,0,1,2,0,2,3,8,0,2,0,4,0,1,21 to 35,Male,576.8,0,2015,7
149,2,5,5,6,2,4,6,0,3,1,5,5,6,10,10,1,10,3,3,36 to 50,Female,602.5,0,2015,7
150,3,4,10,5,8,4,3,5,5,4,7,0,6,10,2,1,5,2,7,36 to 50,Female,669.2,1,2015,7
151,2,2,2,6,4,4,5,5,6,2,4,4,7,0,3,1,8,4,6,36 to 50,Female,680.7,1,2015,7
152,5,5,5,5,10,10,3,4,4,5,4,0,9,0,3,1,3,9,5,36 to 50,Female,694.7,1,2015,7
153,3,4,2,2,10,3,1,5,3,4,1,0,9,7,0,1,3,0,0,36 to 50,Female,612.5,0,2015,7
154,4,3,10,6,4,7,1,1,7,2,5,1,7,1,3,1,6,2,10,36 to 50,Male,679.2,1,2015,7
155,2,3,5,3,0,10,3,1,7,6,3,2,8,5,1,1,10,6,10,21 to 35,Male,677.3,1,2015,7
156,5,1,3,8,10,10,3,1,10,6,6,10,7,0,0,1,4,1,10,36 to 50,Female,730.4,1,2015,7
157,3,5,6,3,6,4,3,2,10,4,2,1,8,0,2,0,10,4,7,36 to 50,Female,658.4,1,2015,7
158,5,3,10,4,10,2,5,5,9,1,4,10,6,0,1,1,7,2,6,36 to 50,Female,714.5,1,2015,7
159,5,5,5,5,6,10,0,0,0,4,6,5,6,10,8,0,10,1,3,20 or younger,Female,619.7,1,2015,7
160,4,3,4,7,4,5,2,0,8,2,6,5,7,0,3,1,7,3,5,21 to 35,Female,672.6,1,2015,7
161,3,3,0,2,3,3,0,3,8,0,3,0,8,0,3,1,2,0,1,36 to 50,Female,602.5,0,2015,7
162,4,3,1,7,10,4,2,5,8,2,5,3,7,4,0,1,9,1,7,51 or more,Female,689.4,1,2015,7
163,3,2,2,10,6,6,4,5,8,10,2,3,7,4,2,1,10,4,3,51 or more,Male,683.7,0,2015,7
164,3,2,2,10,6,6,4,5,8,10,2,3,7,4,2,1,10,4,3,51 or more,Male,683.7,0,2015,7
165,1,5,0,1,6,4,4,3,9,6,4,3,6,6,1,1,6,0,1,51 or more,Female,632.9,1,2015,7
166,1,1,5,5,3,7,5,1,5,2,5,1,8,0,3,1,10,1,4,21 to 35,Male,665.8,1,2015,7
167,5,3,10,10,10,6,6,4,10,7,6,10,6,0,1,1,5,6,7,51 or more,Female,733.6,0,2015,7
168,5,2,3,10,10,10,2,2,8,2,10,2,8,0,1,1,3,2,7,51 or more,Female,711.0,1,2015,7
169,1,3,1,2,2,1,2,0,2,0,3,0,10,10,4,0,2,0,10,21 to 35,Male,558.7,0,2015,7
170,4,3,5,10,10,10,5,2,10,9,10,10,8,0,4,1,7,10,5,51 or more,Female,753.5,1,2015,7
171,3,2,2,3,2,5,4,3,6,3,3,0,7,2,4,0,8,4,4,21 to 35,Female,636.3,1,2015,7
172,3,3,3,8,4,1,2,4,4,1,2,2,9,10,4,0,7,1,6,21 to 35,Female,604.2,0,2015,7
173,1,4,4,6,10,7,2,3,2,5,2,2,5,4,1,0,8,1,5,51 or more,Male,620.4,0,2015,7
174,3,4,5,5,10,6,3,3,7,1,10,1,5,7,5,1,0,0,3,21 to 35,Female,645.8,1,2015,7
175,3,4,10,1,4,1,3,1,6,2,9,1,6,10,2,0,4,1,2,21 to 35,Male,594.8,0,2015,7
176,2,3,2,10,1,10,7,2,10,5,10,4,6,10,1,1,6,5,8,21 to 35,Male,674.9,0,2015,7
177,5,3,8,5,8,10,5,5,10,5,10,5,6,0,2,1,4,4,7,51 or more,Female,715.7,0,2015,7
178,2,1,2,2,0,1,1,3,1,2,1,1,6,0,10,1,5,0,10,51 or more,Male,596.6,0,2015,7
179,5,1,9,4,2,4,6,1,4,3,2,3,8,3,3,1,10,3,7,20 or younger,Male,680.5,1,2015,7
180,5,1,9,4,2,4,6,1,4,3,2,3,8,3,3,1,10,3,7,20 or younger,Male,680.5,1,2015,7
181,3,2,10,8,8,8,0,0,10,5,10,6,7,0,0,1,7,1,7,36 to 50,Female,715.9,1,2015,7
182,3,3,6,5,8,2,2,0,5,2,10,0,7,0,2,1,5,1,3,51 or more,Female,639.4,0,2015,7
183,5,1,7,3,0,9,5,2,5,3,7,10,8,0,2,1,2,1,9,21 to 35,Female,698.5,1,2015,7
184,0,1,10,9,8,10,1,1,2,1,2,1,8,2,4,0,8,0,1,21 to 35,Male,639.7,1,2015,7
185,4,4,5,4,10,4,4,5,5,3,5,8,7,0,1,1,5,10,10,51 or more,Female,714.9,1,2015,7
186,2,2,8,4,4,5,3,3,3,2,9,1,7,10,4,1,7,2,8,21 to 35,Female,657.9,1,2015,7
187,4,2,4,6,1,10,1,1,5,6,3,2,8,0,1,1,4,1,10,51 or more,Female,658.6,0,2015,7
188,5,1,6,10,10,5,3,5,10,6,6,3,8,10,0,1,10,4,10,51 or more,Female,732.3,1,2015,7
189,5,2,5,3,3,10,10,2,10,1,4,2,7,0,1,1,10,10,10,51 or more,Female,706.2,0,2015,7
190,3,4,6,7,6,6,1,5,9,1,9,1,5,0,7,1,4,0,0,21 to 35,Female,642.2,0,2015,7
191,5,2,10,3,4,5,4,3,4,5,7,5,9,3,3,1,8,2,9,51 or more,Female,702.1,1,2015,7
192,2,3,10,10,10,8,5,2,5,3,6,0,7,0,1,0,10,5,10,21 to 35,Female,699.8,1,2015,7
193,4,2,0,2,10,10,0,5,7,6,5,0,7,10,2,0,5,8,8,51 or more,Male,665.6,1,2015,7
194,3,3,6,9,8,5,4,3,7,7,1,4,10,3,3,1,3,6,7,20 or younger,Female,677.3,0,2015,7
195,5,2,5,8,10,10,5,3,7,5,10,5,7,0,5,1,10,4,4,36 to 50,Female,729.5,1,2015,7
196,0,3,4,5,4,5,4,5,2,2,1,1,6,0,5,0,5,1,10,21 to 35,Female,628.9,1,2015,7
197,2,5,1,4,4,4,0,1,2,0,1,0,8,0,4,0,2,1,3,21 to 35,Female,583.4,1,2015,7
198,0,4,0,4,0,3,2,0,5,3,1,1,8,5,1,1,3,5,9,21 to 35,Male,597.0,0,2015,7
199,5,4,8,10,7,3,4,2,6,0,8,4,7,5,6,1,10,3,3,21 to 35,Female,679.8,1,2015,7
200,2,4,2,0,9,8,0,2,2,2,4,2,9,0,8,0,4,4,10,36 to 50,Male,628.4,1,2015,7
201,2,4,2,10,5,5,3,5,2,2,1,0,5,0,5,1,10,0,2,36 to 50,Male,627.0,0,2015,7
202,2,1,10,8,10,5,0,5,7,8,7,0,8,0,2,1,10,10,10,21 to 35,Male,739.3,1,2015,7
203,4,4,8,10,10,7,8,3,8,4,10,2,8,0,10,1,7,7,7,36 to 50,Female,704.2,0,2015,7
204,1,4,3,6,5,7,5,5,4,1,1,6,7,0,3,0,10,2,10,20 or younger,Female,661.4,1,2015,7
205,5,4,8,10,7,3,4,2,6,0,8,4,7,5,6,1,10,3,3,21 to 35,Female,679.8,1,2015,7
206,2,4,4,8,4,4,0,0,8,3,4,3,6,6,7,1,5,1,8,36 to 50,Male,615.9,0,2015,7
207,4,4,10,5,7,7,7,3,8,7,8,10,8,0,2,1,10,4,9,51 or more,Female,741.2,1,2015,7
208,3,1,10,3,10,3,3,3,7,2,10,1,8,0,1,0,5,5,10,36 to 50,Male,677.0,0,2015,7
209,3,1,10,3,10,3,3,3,7,2,10,1,8,0,1,0,5,5,10,36 to 50,Male,677.0,0,2015,7
210,4,4,5,5,3,10,4,0,9,1,3,4,7,3,3,1,10,1,2,51 or more,Male,644.8,0,2015,7
211,1,1,3,4,10,10,4,3,8,7,10,10,6,0,2,1,5,5,10,21 to 35,Male,727.6,1,2015,7
212,1,1,3,4,10,10,4,3,8,7,10,10,6,0,2,1,5,5,10,21 to 35,Male,727.6,1,2015,7
213,3,4,1,1,10,1,3,3,7,2,3,0,6,5,0,0,10,1,3,36 to 50,Female,608.9,0,2015,7
214,3,1,5,9,10,10,5,3,9,6,2,3,7,0,1,1,10,6,10,21 to 35,Female,734.7,1,2015,7
215,1,4,6,10,6,2,2,3,2,2,3,0,10,0,1,0,10,1,8,21 to 35,Female,650.5,1,2015,7
216,5,0,10,9,8,6,4,2,6,6,8,4,9,1,1,1,10,3,10,21 to 35,Male,743.1,1,2015,7
217,3,1,7,10,10,10,10,2,8,10,5,4,9,10,1,1,10,5,10,51 or more,Female,725.5,0,2015,7
218,5,1,10,7,7,10,7,0,8,10,8,3,6,0,0,1,10,5,10,21 to 35,Male,749.3,1,2015,7
219,3,4,8,5,4,10,6,5,8,7,10,8,6,0,3,1,7,5,3,36 to 50,Female,703.8,0,2015,8
220,4,5,1,4,5,10,4,5,5,3,8,1,6,5,5,1,5,2,5,51 or more,Female,660.9,1,2015,8
221,4,2,10,10,10,4,6,3,5,6,2,3,7,0,1,0,5,5,10,36 to 50,Male,702.4,1,2015,8
222,2,5,2,2,10,10,3,1,4,4,5,2,10,10,3,1,10,2,7,36 to 50,Male,639.0,0,2015,8
223,2,5,2,2,10,10,3,1,4,4,5,2,10,10,3,1,10,2,7,36 to 50,Male,639.0,0,2015,8
224,1,3,7,4,4,2,3,2,4,0,1,1,9,0,1,1,2,0,1,21 to 35,Male,609.1,0,2015,8
225,5,0,10,3,10,5,0,0,0,0,9,1,4,0,10,1,2,4,10,51 or more,Male,645.4,0,2015,8
226,4,2,8,5,4,9,5,3,6,2,7,4,8,0,10,1,9,3,3,36 to 50,Female,688.3,1,2015,8
227,4,2,8,5,4,9,5,3,6,2,7,4,8,0,10,1,9,3,3,36 to 50,Female,688.3,1,2015,8
228,4,1,8,9,3,4,6,4,6,2,4,2,9,0,1,1,6,3,4,21 to 35,Female,698.1,1,2015,8
