;fruits_veggies;daily_stress;places_visited;core_circle;supporting_others;social_network;achievement;donation;todo_completed;flow;daily_steps;live_vision;sleep_hours;lost_vacation;daily_shouting;personal_awards;time_for_passion;weekly_meditation;age;gender;healthy_bmi;quest_year;sc_social;sc_stress;sc_fulfilment;sc_health
83;3;4;8;7;5;7;8;2;7;2;3;4;6;6;5;10;0;4;21 to 35;Female;0;2015;68,49;59,56;32,9;50,06
84;5;2;10;5;5;10;5;2;9;4;2;10;8;0;0;7;5;5;21 to 35;Female;1;2015;55,76;25,06;51,96;61,02
85;5;2;3;6;10;10;5;2;5;2;6;0;6;1;0;8;2;5;51 or more;Female;0;2015;71,92;35,68;25,13;53,15
86;4;4;8;2;10;10;6;5;6;5;7;8;6;10;0;10;3;7;51 or more;Female;0;2015;70,89;60,97;50,11;56,84
87;2;4;10;6;4;5;3;1;8;1;2;2;8;0;1;10;6;4;36 to 50;Female;1;2015;56,48;31,06;32,16;52,66
88;5;0;8;3;10;7;6;3;10;4;8;5;8;0;1;10;5;10;36 to 50;Female;1;2015;56,71;22,47;48,72;79,95
89;5;0;8;3;10;7;6;3;10;4;8;5;8;0;1;10;5;10;36 to 50;Female;1;2015;56,71;22,47;48,72;79,95
90;3;4;4;7;4;4;10;5;6;1;9;8;6;0;9;7;1;10;36 to 50;Female;0;2015;59,7;65,83;36,48;70,95
91;3;4;1;4;2;5;2;2;1;1;9;0;6;7;10;2;0;10;21 to 35;Female;0;2015;32,0;82,43;23,55;70,02
92;5;3;8;1;10;10;8;5;9;5;10;10;8;2;0;8;5;10;21 to 35;Female;1;2015;60,67;44,7;57,44;80,79
93;3;4;3;1;4;3;4;0;5;0;7;1;6;1;7;10;1;10;21 to 35;Male;1;2015;39,26;62,95;24,26;70,91
94;3;2;2;3;8;10;2;1;8;1;8;8;7;2;2;2;1;7;36 to 50;Male;1;2015;43,61;40,61;40,52;58,94
95;2;3;10;4;10;10;3;1;8;3;4;3;6;0;1;10;1;7;36 to 50;Male;0;2015;71,68;33,77;28,98;50,19
96;1;5;0;1;1;3;4;1;1;0;1;0;10;10;6;3;0;1;36 to 50;Female;0;2015;21,47;68,2;29,4;43,82
97;5;5;2;2;10;8;1;0;9;2;10;3;6;3;3;4;2;1;21 to 35;Female;1;2015;51,96;70,13;30,49;63,15
98;1;3;10;6;10;10;8;4;9;6;7;5;7;5;1;7;5;3;21 to 35;Female;1;2015;73,68;44,18;55,77;44,31
99;1;3;10;6;7;10;7;3;9;4;5;5;7;4;2;7;3;3;21 to 35;Female;1;2015;68,82;42,3;46,25;44,2
100;2;3;6;3;5;5;5;3;5;3;4;4;7;0;1;5;4;4;51 or more;Female;1;2015;50,28;33,42;38,92;46,33
101;4;3;8;10;10;10;2;1;4;3;3;10;7;7;6;5;2;6;36 to 50;Female;1;2015;63,1;56,42;42,61;52,81
102;5;4;3;10;4;8;6;2;4;0;8;5;6;0;5;4;2;3;21 to 35;Male;0;2015;63,17;58,56;24,9;59,72
103;5;4;10;3;10;8;0;5;3;1;5;2;6;0;3;4;5;6;21 to 35;Female;0;2015;70,45;47,84;15,17;63,12
104;3;2;2;3;2;3;4;1;8;3;10;1;9;8;2;4;2;9;21 to 35;Male;1;2015;19,29;46,89;46,4;77,82
105;3;2;3;8;8;5;3;5;5;1;6;10;7;0;6;2;2;7;36 to 50;Female;1;2015;56,41;40,01;35,97;55,57
106;2;3;6;10;3;4;0;1;1;2;2;0;7;9;1;1;0;2;21 to 35;Female;0;2015;46,21;39,41;21,88;35,51
107;3;4;10;8;8;3;1;1;6;1;5;0;8;10;7;10;1;3;21 to 35;Female;1;2015;59,81;65,79;20,58;63,07
108;2;2;5;1;0;10;10;1;7;3;3;3;6;1;1;10;1;7;21 to 35;Male;1;2015;48,67;35,4;44,3;47,88
109;1;2;0;4;1;1;1;0;8;0;1;0;7;0;3;5;5;7;51 or more;Female;1;2015;24,82;25,34;36,78;44,42
110;3;2;3;6;5;9;6;4;5;4;1;5;6;3;2;10;2;2;36 to 50;Female;0;2015;69,18;37,56;40,98;31,95
111;2;2;3;6;3;2;5;3;4;3;6;2;8;2;0;5;5;6;21 to 35;Male;1;2015;39,62;26,27;42,55;52,24
112;1;3;2;5;1;2;1;0;2;1;10;0;7;0;0;0;0;7;21 to 35;Female;1;2015;25,64;32,59;21,47;56,55
113;3;2;9;7;7;5;3;4;9;2;5;10;6;0;3;5;2;8;51 or more;Female;0;2015;61,38;29,86;38,0;58,44
114;5;2;10;7;4;3;5;2;7;7;1;9;9;8;3;10;5;10;20 or younger;Female;1;2015;39,47;38,5;64,63;71,83
115;5;2;10;7;4;3;5;2;7;7;1;9;9;8;3;10;5;10;20 or younger;Female;1;2015;39,47;38,5;64,63;71,83
116;3;5;0;3;2;10;0;0;10;1;10;10;6;0;4;0;3;10;21 to 35;Female;0;2015;27,35;62,85;46,67;69,51
117;2;5;0;10;3;2;4;1;5;2;4;0;8;0;10;10;3;10;51 or more;Female;1;2015;44,6;63,41;31,57;63,24
118;2;1;1;0;0;6;2;0;5;2;8;2;7;2;3;5;4;4;21 to 35;Male;1;2015;21,84;40,6;42,69;55,33
119;1;2;6;8;4;5;2;1;5;1;9;5;10;0;3;1;2;4;21 to 35;Female;1;2015;36,4;29,23;33,22;62,3
120;1;2;6;8;4;5;2;1;5;1;9;5;10;0;3;1;2;4;21 to 35;Female;1;2015;36,4;29,23;33,22;62,3
121;5;2;10;5;6;5;8;3;7;3;10;2;9;5;5;8;3;10;21 to 35;Male;1;2015;49,47;51,16;38,73;93,52
122;5;3;0;6;5;10;2;1;9;3;9;2;5;2;6;3;5;3;21 to 35;Female;1;2015;49,52;66,15;41,08;59,78
123;5;2;10;4;4;10;4;3;9;2;10;1;7;0;3;9;1;10;36 to 50;Female;1;2015;60,78;41,95;22,77;87,72
124;5;4;10;3;10;10;8;4;8;2;10;10;7;0;0;10;2;8;36 to 50;Male;1;2015;75,45;46,33;37,08;76,98
125;3;5;0;7;2;5;1;2;3;1;9;0;7;0;8;6;0;10;36 to 50;Female;1;2015;43,14;67,99;16,39;72,03
126;2;3;0;7;2;5;2;3;3;2;9;0;4;0;3;5;1;7;21 to 35;Female;1;2015;53,25;46,98;21,88;46,59
127;3;4;3;5;0;5;2;1;3;4;3;4;5;0;3;2;4;5;20 or younger;Male;1;2015;36,52;47,77;39,36;43,45
128;5;4;3;7;4;4;3;3;2;0;3;0;9;1;5;5;3;8;21 to 35;Male;1;2015;46,3;47,14;18,21;70,44
129;1;3;3;5;6;2;10;0;8;2;10;0;8;10;0;10;4;10;21 to 35;Male;1;2015;38,44;48,09;53,43;64,36
130;2;0;0;10;2;5;2;0;10;1;1;0;10;0;0;1;7;10;36 to 50;Female;1;2015;23,41;0,0;48,87;55,21
131;1;2;2;1;3;7;1;1;2;1;1;0;8;5;0;0;0;4;36 to 50;Female;0;2015;29,47;28,78;27,09;35,58
132;2;3;9;3;2;8;3;1;8;3;6;5;8;0;10;10;1;8;36 to 50;Female;1;2015;43,8;59,57;36,13;74,27
133;5;4;10;3;3;10;4;4;7;2;10;3;6;3;2;6;3;5;21 to 35;Male;1;2015;61,99;58,55;26,63;74,63
134;2;3;2;5;6;5;1;1;6;1;2;1;6;0;5;5;1;1;36 to 50;Male;0;2015;52,67;43,44;22,6;36,23
135;3;2;10;5;1;10;2;0;8;3;5;0;9;0;7;3;1;8;21 to 35;Female;0;2015;36,16;42,91;29,34;77,76
136;5;3;4;10;6;10;4;5;8;4;7;10;7;5;1;10;2;5;51 or more;Female;0;2015;73,66;46,31;44,85;58,05
137;1;1;4;6;6;4;6;0;9;4;3;2;6;0;1;10;2;4;20 or younger;Female;1;2015;54,01;20,8;44,33;36,33
138;0;4;1;1;8;3;1;1;1;1;4;3;5;0;8;1;0;4;21 to 35;Female;1;2015;40,72;59,92;23,52;33,2
139;3;4;4;6;10;10;0;3;4;1;10;5;7;5;4;10;6;5;51 or more;Female;0;2015;67,35;63,37;34,03;58,5
140;3;4;3;4;2;3;3;4;0;1;10;3;5;2;7;0;2;3;20 or younger;Female;1;2015;43,56;69,16;21,9;56,06
141;5;1;9;6;2;7;5;1;7;6;7;4;10;0;1;1;3;7;20 or younger;Male;1;2015;30,59;23,91;47,98;81,85
142;5;2;9;10;8;10;6;3;10;5;9;5;9;0;3;10;6;5;36 to 50;Male;1;2015;70,39;38,33;48,02;76,84
143;5;1;7;4;2;10;5;0;8;8;8;2;10;0;1;1;5;7;20 or younger;Male;1;2015;24,61;30,11;58,49;82,33
144;5;0;9;4;4;8;1;0;9;7;10;2;10;0;0;3;5;5;20 or younger;Male;1;2015;28,8;21,24;50,17;84,75
145;5;2;5;4;7;1;3;5;9;1;7;10;6;1;1;4;8;4;51 or more;Female;0;2015;50,09;33,01;47,66;61,27
146;2;3;7;4;10;8;10;5;5;5;2;10;6;0;3;10;6;10;51 or more;Female;1;2015;71,42;38,82;59,48;44,18
147;5;3;10;10;5;5;10;3;8;2;5;2;7;10;9;5;3;7;51 or more;Female;0;2015;59,3;70,39;40,24;74,6
148;1;2;4;3;1;2;0;1;2;0;2;3;8;0;2;4;0;1;21 to 35;Male;0;2015;32,99;24,15;19,94;39,01
149;2;5;5;6;2;4;6;0;3;1;5;5;6;10;10;10;3;3;36 to 50;Female;0;2015;45,72;88,3;41,31;50,49
150;3;4;10;5;8;4;3;5;5;4;7;0;6;10;2;5;2;7;36 to 50;Female;1;2015;62,42;57,8;29,08;59,71
151;2;2;2;6;4;4;5;5;6;2;4;4;7;0;3;8;4;6;36 to 50;Female;1;2015;55,68;31,06;38,23;46,8
152;5;5;5;5;10;10;3;4;4;5;4;0;9;0;3;3;9;5;36 to 50;Female;1;2015;59,13;53,03;40,08;62,97
153;3;4;2;2;10;3;1;5;3;4;1;0;9;7;0;3;0;0;36 to 50;Female;0;2015;51,85;42,15;25,2;38,34
154;4;3;10;6;4;7;1;1;7;2;5;1;7;1;3;6;2;10;36 to 50;Male;1;2015;50,33;38,67;23,59;73,43
155;2;3;5;3;0;10;3;1;7;6;3;2;8;5;1;10;6;10;21 to 35;Male;1;2015;35,35;41,58;57,37;57,1
156;5;1;3;8;10;10;3;1;10;6;6;10;7;0;0;4;1;10;36 to 50;Female;1;2015;53,07;23,86;54,51;63,13
157;3;5;6;3;6;4;3;2;10;4;2;1;8;0;2;10;4;7;36 to 50;Female;1;2015;50,96;42,67;36,91;60,85
158;5;3;10;4;10;2;5;5;9;1;4;10;6;0;1;7;2;6;36 to 50;Female;1;2015;69,21;31,36;31,24;62,87
159;5;5;5;5;6;10;0;0;0;4;6;5;6;10;8;10;1;3;20 or younger;Female;1;2015;55,08;91,39;32,19;57,66
160;4;3;4;7;4;5;2;0;8;2;6;5;7;0;3;7;3;5;21 to 35;Female;1;2015;45,52;41,23;36,28;62,16
161;3;3;0;2;3;3;0;3;8;0;3;0;8;0;3;2;0;1;36 to 50;Female;0;2015;37,28;36,72;17,65;50,51
162;4;3;1;7;10;4;2;5;8;2;5;3;7;4;0;9;1;7;51 or more;Female;1;2015;67,44;35,15;27,9;53,9
163;3;2;2;10;6;6;4;5;8;10;2;3;7;4;2;10;4;3;51 or more;Male;0;2015;65,46;35,78;57,93;36,42
164;3;2;2;10;6;6;4;5;8;10;2;3;7;4;2;10;4;3;51 or more;Male;0;2015;65,46;35,78;57,93;36,42
165;1;5;0;1;6;4;4;3;9;6;4;3;6;6;1;6;0;1;51 or more;Female;1;2015;47,68;57,5;46,29;31,72
166;1;1;5;5;3;7;5;1;5;2;5;1;8;0;3;10;1;4;21 to 35;Male;1;2015;50,78;27,62;31,23;48,51
167;5;3;10;10;10;6;6;4;10;7;6;10;6;0;1;5;6;7;51 or more;Female;0;2015;70,92;35,05;57,6;62,07
168;5;2;3;10;10;10;2;2;8;2;10;2;8;0;1;3;2;7;51 or more;Female;1;2015;62,38;33,52;27,79;71,29
169;1;3;1;2;2;1;2;0;2;0;3;0;10;10;4;2;0;10;21 to 35;Male;0;2015;9,24;47,66;32,82;60,7
170;4;3;5;10;10;10;5;2;10;9;10;10;8;0;4;7;10;5;51 or more;Female;1;2015;59,0;51,25;77,52;65,12
171;3;2;2;3;2;5;4;3;6;3;3;0;7;2;4;8;4;4;21 to 35;Female;1;2015;44,25;41,44;37,27;50,13
172;3;3;3;8;4;1;2;4;4;1;2;2;9;10;4;7;1;6;21 to 35;Female;0;2015;45,0;46,53;28,87;55,1
173;1;4;4;6;10;7;2;3;2;5;2;2;5;4;1;8;1;5;51 or more;Male;0;2015;71,18;44,07;31,29;24,76
174;3;4;5;5;10;6;3;3;7;1;10;1;5;7;5;0;0;3;21 to 35;Female;1;2015;60,66;69,42;22,45;55,64
175;3;4;10;1;4;1;3;1;6;2;9;1;6;10;2;4;1;2;21 to 35;Male;0;2015;38,73;63,23;28,88;63,26
176;2;3;2;10;1;10;7;2;10;5;10;4;6;10;1;6;5;8;21 to 35;Male;0;2015;48,55;56,89;64,23;54,35
177;5;3;8;5;8;10;5;5;10;5;10;5;6;0;2;4;4;7;51 or more;Female;0;2015;67,52;47,34;41,61;72,6
178;2;1;2;2;0;1;1;3;1;2;1;1;6;0;10;5;0;10;51 or more;Male;0;2015;28,18;43,34;23,95;53,8
179;5;1;9;4;2;4;6;1;4;3;2;3;8;3;3;10;3;7;20 or younger;Male;1;2015;42,2;31,46;37,77;68,45
180;5;1;9;4;2;4;6;1;4;3;2;3;8;3;3;10;3;7;20 or younger;Male;1;2015;42,2;31,46;37,77;68,45
181;3;2;10;8;8;8;0;0;10;5;10;6;7;0;0;7;1;7;36 to 50;Female;1;2015;57,37;28,38;38,02;68,09
182;3;3;6;5;8;2;2;0;5;2;10;0;7;0;2;5;1;3;51 or more;Female;0;2015;48,3;41,35;20,83;63,13
183;5;1;7;3;0;9;5;2;5;3;7;10;8;0;2;2;1;9;21 to 35;Female;1;2015;31,87;31,49;44,51;77,2
184;0;1;10;9;8;10;1;1;2;1;2;1;8;2;4;8;0;1;21 to 35;Male;1;2015;71,48;25,48;16,77;32,24
185;4;4;5;4;10;4;4;5;5;3;5;8;7;0;1;5;10;10;51 or more;Female;1;2015;54,24;38,94;52,07;61,1
186;2;2;8;4;4;5;3;3;3;2;9;1;7;10;4;7;2;8;21 to 35;Female;1;2015;45,55;54,67;32,4;64,87
187;4;2;4;6;1;10;1;1;5;6;3;2;8;0;1;4;1;10;51 or more;Female;0;2015;37,02;28,01;38,47;62,5
188;5;1;6;10;10;5;3;5;10;6;6;3;8;10;0;10;4;10;51 or more;Female;1;2015;64,53;32,27;50,28;68,75
189;5;2;5;3;3;10;10;2;10;1;4;2;7;0;1;10;10;10;51 or more;Female;0;2015;51,63;34,11;53,47;70,04
190;3;4;6;7;6;6;1;5;9;1;9;1;5;0;7;4;0;0;21 to 35;Female;0;2015;73,12;61,74;11,32;54,77
191;5;2;10;3;4;5;4;3;4;5;7;5;9;3;3;8;2;9;51 or more;Female;1;2015;42,24;40,69;38,81;83,63
192;2;3;10;10;10;8;5;2;5;3;6;0;7;0;1;10;5;10;21 to 35;Female;1;2015;76,0;29,96;30,93;57,43
193;4;2;0;2;10;10;0;5;7;6;5;0;7;10;2;5;8;8;51 or more;Male;1;2015;48,66;53,21;55,61;53,21
194;3;3;6;9;8;5;4;3;7;7;1;4;10;3;3;3;6;7;20 or younger;Female;0;2015;46,0;33,15;56,64;56,31
195;5;2;5;8;10;10;5;3;7;5;10;5;7;0;5;10;4;4;36 to 50;Female;1;2015;72,95;51,36;42,16;67,07
196;0;3;4;5;4;5;4;5;2;2;1;1;6;0;5;5;1;10;21 to 35;Female;1;2015;55,89;36,48;24,84;37,97
197;2;5;1;4;4;4;0;1;2;0;1;0;8;0;4;2;1;3;21 to 35;Female;1;2015;38,66;47,04;15,66;42,78
198;0;4;0;4;0;3;2;0;5;3;1;1;8;5;1;3;5;9;21 to 35;Male;0;2015;17,19;37,88;50,01;41,07
199;5;4;8;10;7;3;4;2;6;0;8;4;7;5;6;10;3;3;21 to 35;Female;1;2015;66,96;62,61;23,98;70,2
200;2;4;2;0;9;8;0;2;2;2;4;2;9;0;8;4;4;10;36 to 50;Male;1;2015;36,47;58,07;32,2;63,55
201;2;4;2;10;5;5;3;5;2;2;1;0;5;0;5;10;0;2;36 to 50;Male;0;2015;80,71;46,56;12,42;26,93
